Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
09/27/2023,Fairfax,277329,5456,1795
09/27/2023,Loudoun,101686,2123,450
09/27/2023,Prince William,149492,4088,951
09/26/2023,Alexandria,46749,839,234
09/26/2023,Arlington,68440,1399,371
09/26/2023,Fairfax,277241,5453,1795
09/26/2023,Loudoun,101642,2121,450
09/26/2023,Prince William,149446,4088,951
09/25/2023,Alexandria,46740,838,234
09/25/2023,Arlington,68429,1399,371
09/25/2023,Fairfax,277160,5453,1795
09/25/2023,Loudoun,101611,2121,450
09/25/2023,Prince William,149413,4088,951
09/24/2023,Alexandria,46738,838,234
09/24/2023,Arlington,68419,1399,371
09/24/2023,Fairfax,277106,5453,1795
09/24/2023,Loudoun,101592,2121,450
09/24/2023,Prince William,149393,4088,951
09/23/2023,Alexandria,46730,838,234
09/23/2023,Arlington,68410,1399,371
09/23/2023,Fairfax,277052,5452,1795
09/23/2023,Loudoun,101567,2121,450
09/23/2023,Prince William,149363,4088,951
09/22/2023,Alexandria,46727,838,234
09/22/2023,Arlington,68398,1399,371
09/22/2023,Fairfax,276976,5451,1795
09/22/2023,Loudoun,101534,2122,450
09/22/2023,Prince William,149313,4088,951
09/21/2023,Alexandria,46715,838,234
09/21/2023,Arlington,68382,1399,371
09/21/2023,Fairfax,276891,5449,1794
09/21/2023,Loudoun,101497,2120,451
09/21/2023,Prince William,149261,4088,951
09/20/2023,Alexandria,46703,839,234
09/20/2023,Arlington,68364,1399,371
09/20/2023,Fairfax,276787,5448,1795
09/20/2023,Loudoun,101444,2125,450
09/20/2023,Prince William,149216,4088,951
09/19/2023,Alexandria,46678,838,234
09/19/2023,Arlington,68341,1399,371
09/19/2023,Fairfax,276661,5447,1794
09/19/2023,Loudoun,101403,2125,450
09/19/2023,Prince William,149139,4088,951
09/18/2023,Alexandria,46669,837,234
09/18/2023,Arlington,68328,1399,371
09/18/2023,Fairfax,276574,5446,1794
09/18/2023,Loudoun,101367,2124,450
09/18/2023,Prince William,149099,4088,951
09/17/2023,Alexandria,46659,837,234
09/17/2023,Arlington,68320,1399,371
09/17/2023,Fairfax,276498,5445,1794
09/17/2023,Loudoun,101329,2124,450
09/17/2023,Prince William,149056,4088,951
09/16/2023,Alexandria,46652,837,234
09/16/2023,Arlington,68309,1399,371
09/16/2023,Fairfax,276441,5443,1794
09/16/2023,Loudoun,101314,2124,450
09/16/2023,Prince William,149031,4088,951
09/15/2023,Alexandria,46645,837,234
09/15/2023,Arlington,68294,1399,371
09/15/2023,Fairfax,276351,5442,1794
09/15/2023,Loudoun,101247,2129,449
09/15/2023,Prince William,148986,4088,951
09/14/2023,Alexandria,46631,837,234
09/14/2023,Arlington,68273,1399,371
09/14/2023,Fairfax,276252,5440,1794
09/14/2023,Loudoun,101182,2126,449
09/14/2023,Prince William,148919,4087,951
09/13/2023,Alexandria,46611,837,234
09/13/2023,Arlington,68255,1398,371
09/13/2023,Fairfax,276137,5440,1794
09/13/2023,Loudoun,101097,2122,449
09/13/2023,Prince William,148868,4087,951
09/12/2023,Alexandria,46596,837,234
09/12/2023,Arlington,68234,1398,371
09/12/2023,Fairfax,276020,5437,1794
09/12/2023,Loudoun,101045,2116,449
09/12/2023,Prince William,148818,4087,951
09/11/2023,Alexandria,46579,837,234
09/11/2023,Arlington,68216,1399,371
09/11/2023,Fairfax,275917,5433,1794
09/11/2023,Loudoun,101003,2115,449
09/11/2023,Prince William,148766,4087,951
09/10/2023,Alexandria,46571,837,234
09/10/2023,Arlington,68200,1399,371
09/10/2023,Fairfax,275838,5429,1794
09/10/2023,Loudoun,100969,2115,449
09/10/2023,Prince William,148723,4087,951
09/09/2023,Alexandria,46561,837,234
09/09/2023,Arlington,68183,1399,371
09/09/2023,Fairfax,275749,5427,1794
09/09/2023,Loudoun,100943,2114,449
09/09/2023,Prince William,148682,4087,951
09/08/2023,Alexandria,46535,837,234
09/08/2023,Arlington,68170,1398,371
09/08/2023,Fairfax,275632,5426,1794
09/08/2023,Loudoun,100895,2112,449
09/08/2023,Prince William,148603,4087,951
09/07/2023,Alexandria,46515,837,234
09/07/2023,Arlington,68132,1398,371
09/07/2023,Fairfax,275480,5423,1794
09/07/2023,Loudoun,100844,2112,449
09/07/2023,Prince William,148544,4086,951
09/06/2023,Alexandria,46497,837,234
09/06/2023,Arlington,68107,1398,371
09/06/2023,Fairfax,275350,5422,1794
09/06/2023,Loudoun,100787,2112,449
09/06/2023,Prince William,148490,4086,951
09/05/2023,Alexandria,46485,837,234
09/05/2023,Arlington,68086,1398,371
09/05/2023,Fairfax,275238,5421,1794
09/05/2023,Loudoun,100742,2111,449
09/05/2023,Prince William,148417,4086,951
09/04/2023,Alexandria,46468,837,234
09/04/2023,Arlington,68072,1398,371
